LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C107696,RC0603FR-07220RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C107696,441100,0.0067,100,100,https://www.lcsc.com/product-detail/C107696.html,0603,Tape & Reel (TR),Thick Film Resistor,220Ω,±1%,75V,100mW,±100ppm/℃
C138008,RC0402FR-0730KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138008,440400,0.0053,100,100,https://www.lcsc.com/product-detail/C138008.html,0402,Tape & Reel (TR),Thick Film Resistor,30kΩ,±1%,50V,62.5mW,±100ppm/℃
C114555,RC0805FR-071K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114555,436100,0.0064,100,100,https://www.lcsc.com/product-detail/C114555.html,0805,Tape & Reel (TR),Thick Film Resistor,1.5kΩ,±1%,150V,125mW,±100ppm/℃
C105577,RC0805FR-07100RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C105577,434500,0.0069,100,100,https://www.lcsc.com/product-detail/C105577.html,0805,Tape & Reel (TR),Thick Film Resistor,100Ω,±1%,150V,125mW,±100ppm/℃
C138010,RC0402FR-07300RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138010,416400,0.0052,100,100,https://www.lcsc.com/product-detail/C138010.html,0402,Tape & Reel (TR),Thick Film Resistor,300Ω,±1%,50V,62.5mW,±100ppm/℃
C138045,RC0402FR-07180RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138045,409200,0.0017,100,100,https://www.lcsc.com/product-detail/C138045.html,0402,Tape & Reel (TR),Thick Film Resistor,180Ω,±1%,50V,62.5mW,±100ppm/℃
C138017,RC0402FR-072K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138017,406100,0.0051,100,100,https://www.lcsc.com/product-detail/C138017.html,0402,Tape & Reel (TR),Thick Film Resistor,2.7kΩ,±1%,50V,62.5mW,±100ppm/℃
C137934,RC0402FR-077K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137934,406100,0.0029,100,100,https://www.lcsc.com/product-detail/C137934.html,0402,Tape & Reel (TR),Thick Film Resistor,7.5kΩ,±1%,50V,62.5mW,±100ppm/℃
C144809,AC0402FR-07100KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144809,400500,0.0040,100,100,https://www.lcsc.com/product-detail/C144809.html,0402,Tape & Reel (TR),Thick Film Resistor,100kΩ,±1%,50V,62.5mW,±100ppm/℃
C137745,RC0603FR-0730K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137745,396300,0.0074,100,100,https://www.lcsc.com/product-detail/C137745.html,0603,Tape & Reel (TR),Thick Film Resistor,30.1kΩ,±1%,75V,100mW,±100ppm/℃
