LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Operating Temperature
C343867,GCM1555C1H390JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/cd86f6bff714d57960197f1927f5b934.pdf?productCode=C343867,7900,0.0083,100,100,https://www.lcsc.com/product-detail/C343867.html,0402,Tape & Reel (TR),39pF,±5%,50V,C0G,
C1517782,GJM1555C1H170FB01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/be5288585b684f095fe64d8758ee810e.pdf?productCode=C1517782,7880,0.0431,10,10,https://www.lcsc.com/product-detail/C1517782.html,0402,Tape & Reel (TR),17pF,±1%,50V,C0G,
C2168449,C0402C222J5RACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/2fe6a453435205abf7a26ebf93692f47.pdf?productCode=C2168449,7850,0.0144,50,50,https://www.lcsc.com/product-detail/C2168449.html,0402,Tape & Reel (TR),2.2nF,±5%,50V,X7R,
C2167326,C0603C100J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2167326,7850,0.0153,50,50,https://www.lcsc.com/product-detail/C2167326.html,0603,Tape & Reel (TR),10pF,±5%,50V,C0G,
C327221,CC0603JRNPO0BN121,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C327221,7850,0.0126,50,50,https://www.lcsc.com/product-detail/C327221.html,0603,Tape & Reel (TR),120pF,±5%,100V,NP0,
C326913,CC0805JKNPO9BN682,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C326913,7850,0.1036,10,10,https://www.lcsc.com/product-detail/C326913.html,0805,Tape & Reel (TR),6.8nF,±5%,50V,NP0,
C440152,GJM1555C1H150GB01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/487017f6b54a225cb531ae9163fbe3cd.pdf?productCode=C440152,7840,0.0248,20,20,https://www.lcsc.com/product-detail/C440152.html,0402,Tape & Reel (TR),15pF,±2%,50V,C0G,
C2169175,GJM1555C1H200JB01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/32d8ab9d5433deee6018904a0913f81a.pdf?productCode=C2169175,7800,0.0200,50,50,https://www.lcsc.com/product-detail/C2169175.html,0402,Tape & Reel (TR),20pF,±5%,50V,C0G,
C576708,CC0402JRX7R7BB123,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C576708,7800,0.0046,100,100,https://www.lcsc.com/product-detail/C576708.html,0402,Tape & Reel (TR),12nF,±5%,16V,X7R,
C113800,CC0603JRNPOYBN150,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C113800,7800,0.0159,50,50,https://www.lcsc.com/product-detail/C113800.html,0603,Tape & Reel (TR),15pF,±5%,250V,NP0,
