LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C597377,08055A471FAT2A,Kyocera AVX,,1780,0.1024,5,5,https://www.lcsc.com/product-detail/C597377.html,0805,Tape & Reel (TR),470pF,±1%,50V,C0G
C2241350,VJ1206A681JXBAT,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/eeb5a217987250da372b0768bba66d9f.pdf?productCode=C2241350,1775,0.2181,5,5,https://www.lcsc.com/product-detail/C2241350.html,1206,Tape & Reel (TR),680pF,±5%,100V,C0G
C2312092,CQ0805JRNPOYBN101,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/d9e1f96faa5392c23fe073d37a19d097.pdf?productCode=C2312092,1770,0.0691,10,10,https://www.lcsc.com/product-detail/C2312092.html,0805,Tape & Reel (TR),100pF,±5%,250V,NP0
C2176739,GRM2165C2A122JA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/51188a92a7a025d7bb08a93dd33a53cf.pdf?productCode=C2176739,1760,0.0338,20,20,https://www.lcsc.com/product-detail/C2176739.html,0805,Tape & Reel (TR),1.2nF,±5%,100V,C0G
C882578,GCM1885C1H222FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/30582cd9bc9d1875235861ebf264b6b3.pdf?productCode=C882578,1760,0.0860,10,10,https://www.lcsc.com/product-detail/C882578.html,0603,Tape & Reel (TR),2.2nF,±1%,50V,C0G
C914876,AC0805JRNPO9BN221,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C914876,1750,0.0233,50,50,https://www.lcsc.com/product-detail/C914876.html,0805,Tape & Reel (TR),220pF,±5%,50V,NP0
C527217,CC0805JRNPOYBN331,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C527217,1750,0.0168,50,50,https://www.lcsc.com/product-detail/C527217.html,0805,Tape & Reel (TR),330pF,±5%,250V,NP0
C2183578,C0603C102F3GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2183578,1740,0.3673,5,5,https://www.lcsc.com/product-detail/C2183578.html,0603,Tape & Reel (TR),1nF,±1%,25V,C0G
C882527,GRM1885C1H120FA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/368d4a38ad2e54eda82258271ab4e137.pdf?productCode=C882527,1740,0.0263,20,20,https://www.lcsc.com/product-detail/C882527.html,0603,Tape & Reel (TR),12pF,±1%,50V,C0G
C527592,GQM1875C2E220JB12D,muRata,https://datasheet.lcsc.com/datasheet/pdf/7b893b7cc276dd522b227c8888b2fa84.pdf?productCode=C527592,1735,0.1240,5,5,https://www.lcsc.com/product-detail/C527592.html,0603,Tape & Reel (TR),22pF,±5%,250V,C0G
C408553,GCM21A5C2E100JX01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/47339be8e3c887c27f5ca6e005570b45.pdf?productCode=C408553,1730,0.0741,10,10,https://www.lcsc.com/product-detail/C408553.html,0805,Tape & Reel (TR),10pF,±5%,250V,C0G
C2178236,AC1206JRNPOBBN470,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2178236,1720,0.0321,20,20,https://www.lcsc.com/product-detail/C2178236.html,1206,Tape & Reel (TR),47pF,±5%,500V,NP0
C527292,CC1206JRNPO0BN821,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C527292,1720,0.0447,20,20,https://www.lcsc.com/product-detail/C527292.html,1206,Tape & Reel (TR),820pF,±5%,100V,NP0
C2250400,AC1206JKNPOZBN330,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2250400,1710,0.0470,10,10,https://www.lcsc.com/product-detail/C2250400.html,1206,Tape & Reel (TR),33pF,±5%,630V,NP0
C541494,CC1206JKNPOCBN181,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C541494,1710,0.0859,10,10,https://www.lcsc.com/product-detail/C541494.html,1206,Tape & Reel (TR),180pF,±5%,1kV,NP0
C20727560,GRM1555C2A470GA01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/be89b524fc037d98bd658b143272cb1d.pdf?productCode=C20727560,1700,0.0175,50,50,https://www.lcsc.com/product-detail/C20727560.html,0402,Tape & Reel (TR),47pF,±2%,100V,C0G
C3901662,GRT1555C1E100JA02D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a700ef373f595f53cc19b7a95783ef24.pdf?productCode=C3901662,1700,0.0030,100,100,https://www.lcsc.com/product-detail/C3901662.html,0402,Tape & Reel (TR),10pF,±5%,25V,C0G
C2168663,C0402C100J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2168663,1700,0.0134,50,50,https://www.lcsc.com/product-detail/C2168663.html,0402,Tape & Reel (TR),10pF,±5%,50V,C0G
C520015,CC0805JRX7R9BB682,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C520015,1700,0.0183,50,50,https://www.lcsc.com/product-detail/C520015.html,0805,Tape & Reel (TR),6.8nF,±5%,50V,X7R
C326654,CC1206JRNPOBBN271,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C326654,1700,0.0579,20,20,https://www.lcsc.com/product-detail/C326654.html,1206,Tape & Reel (TR),270pF,±5%,500V,NP0
