LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C98220,RC0603FR-0710KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C98220,11387600,0.0050,100,100,https://www.lcsc.com/product-detail/C98220.html,0603,Tape & Reel (TR),Thick Film Resistor,10kΩ,±1%,75V,100mW,±100ppm/℃
C22548,RC0603FR-071KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C22548,7248200,0.0052,100,100,https://www.lcsc.com/product-detail/C22548.html,0603,Tape & Reel (TR),Thick Film Resistor,1kΩ,±1%,75V,100mW,±100ppm/℃
C99782,RC0603FR-074K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C99782,6636700,0.0053,100,100,https://www.lcsc.com/product-detail/C99782.html,0603,Tape & Reel (TR),Thick Film Resistor,4.7kΩ,±1%,75V,100mW,±100ppm/℃
C105871,RC0402FR-074K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C105871,5624100,0.0043,100,100,https://www.lcsc.com/product-detail/C105871.html,0402,Tape & Reel (TR),Thick Film Resistor,4.7kΩ,±1%,50V,62.5mW,±100ppm/℃
C60491,RC0402FR-07100KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C60491,5185300,0.0044,100,100,https://www.lcsc.com/product-detail/C60491.html,0402,Tape & Reel (TR),Thick Film Resistor,100kΩ,±1%,50V,62.5mW,±100ppm/℃
C60490,RC0402FR-0710KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C60490,4724500,0.0038,100,100,https://www.lcsc.com/product-detail/C60490.html,0402,Tape & Reel (TR),Thick Film Resistor,10kΩ,±1%,50V,62.5mW,±100ppm/℃
C105575,RC0603FR-0720KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C105575,4310600,0.0051,100,100,https://www.lcsc.com/product-detail/C105575.html,0603,Tape & Reel (TR),Thick Film Resistor,20kΩ,±1%,75V,100mW,±100ppm/℃
C106232,RC0402FR-07100RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C106232,4205200,0.0044,100,100,https://www.lcsc.com/product-detail/C106232.html,0402,Tape & Reel (TR),Thick Film Resistor,100Ω,±1%,50V,62.5mW,±100ppm/℃
C114765,RC0402FR-0722RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114765,4167400,0.0042,100,100,https://www.lcsc.com/product-detail/C114765.html,0402,Tape & Reel (TR),Thick Film Resistor,22Ω,±1%,50V,62.5mW,±100ppm/℃
C138002,RC0402FR-0733RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138002,3955900,0.0056,100,100,https://www.lcsc.com/product-detail/C138002.html,0402,Tape & Reel (TR),Thick Film Resistor,33Ω,±1%,50V,62.5mW,±100ppm/℃
C137960,RC0402FR-0751RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137960,3522400,0.0056,100,100,https://www.lcsc.com/product-detail/C137960.html,0402,Tape & Reel (TR),Thick Film Resistor,51Ω,±1%,50V,62.5mW,±100ppm/℃
C106235,RC0402FR-071KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C106235,3511300,0.0041,100,100,https://www.lcsc.com/product-detail/C106235.html,0402,Tape & Reel (TR),Thick Film Resistor,1kΩ,±1%,50V,62.5mW,±100ppm/℃
C93943,RC0402FR-0747KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C93943,3309600,0.0056,100,100,https://www.lcsc.com/product-detail/C93943.html,0402,Tape & Reel (TR),Thick Film Resistor,47kΩ,±1%,50V,62.5mW,±100ppm/℃
C93940,RC0402FR-076K8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C93940,2707200,0.0054,100,100,https://www.lcsc.com/product-detail/C93940.html,0402,Tape & Reel (TR),Thick Film Resistor,6.8kΩ,±1%,50V,62.5mW,±100ppm/℃
C14675,RC0603FR-07100KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C14675,2604600,0.0047,100,100,https://www.lcsc.com/product-detail/C14675.html,0603,Tape & Reel (TR),Thick Film Resistor,100kΩ,±1%,75V,100mW,±100ppm/℃
C60816,RC0805FR-074K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C60816,2308500,0.0096,100,100,https://www.lcsc.com/product-detail/C60816.html,0805,Tape & Reel (TR),Thick Film Resistor,4.7kΩ,±1%,150V,125mW,±100ppm/℃
C105875,RC0402FR-07330RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C105875,2308000,0.0051,100,100,https://www.lcsc.com/product-detail/C105875.html,0402,Tape & Reel (TR),Thick Film Resistor,330Ω,±1%,50V,62.5mW,±100ppm/℃
C105872,RC0402FR-075K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C105872,2117700,0.0054,100,100,https://www.lcsc.com/product-detail/C105872.html,0402,Tape & Reel (TR),Thick Film Resistor,5.1kΩ,±1%,50V,62.5mW,±100ppm/℃
C137973,RC0402FR-0747RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137973,1784100,0.0052,100,100,https://www.lcsc.com/product-detail/C137973.html,0402,Tape & Reel (TR),Thick Film Resistor,47Ω,±1%,50V,62.5mW,±100ppm/℃
C138033,RC0402FR-071ML,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C138033,1773400,0.0055,100,100,https://www.lcsc.com/product-detail/C138033.html,0402,Tape & Reel (TR),Thick Film Resistor,1MΩ,±1%,50V,62.5mW,±100ppm/℃
C131467,RC0402FR-073K9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C131467,1770000,0.0055,100,100,https://www.lcsc.com/product-detail/C131467.html,0402,Tape & Reel (TR),Thick Film Resistor,3.9kΩ,±1%,50V,62.5mW,±100ppm/℃
C84376,RC0805FR-0710KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C84376,1745400,0.0081,100,100,https://www.lcsc.com/product-detail/C84376.html,0805,Tape & Reel (TR),Thick Film Resistor,10kΩ,±1%,150V,125mW,±100ppm/℃
