LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C144702,AC0603FR-0712KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144702,117300,0.0061,100,100,https://www.lcsc.com/product-detail/C144702.html,0603,Tape & Reel (TR),Thick Film Resistor,12kΩ,±1%,75V,100mW,±100ppm/℃
C185420,RC0402FR-0739RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185420,115800,0.0014,100,100,https://www.lcsc.com/product-detail/C185420.html,0402,Tape & Reel (TR),Thick Film Resistor,39Ω,±1%,50V,62.5mW,±100ppm/℃
C137533,RC0805FR-073K6L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137533,115700,0.0075,100,100,https://www.lcsc.com/product-detail/C137533.html,0805,Tape & Reel (TR),Thick Film Resistor,3.6kΩ,±1%,150V,125mW,±100ppm/℃
C137545,RC0805FR-0730RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137545,114500,0.0077,100,100,https://www.lcsc.com/product-detail/C137545.html,0805,Tape & Reel (TR),Thick Film Resistor,30Ω,±1%,150V,125mW,±100ppm/℃
C163453,RC0402FR-0782RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C163453,114300,0.0053,100,100,https://www.lcsc.com/product-detail/C163453.html,0402,Tape & Reel (TR),Thick Film Resistor,82Ω,±1%,50V,62.5mW,±100ppm/℃
C114536,RC0805FR-07560RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C114536,114100,0.0054,100,100,https://www.lcsc.com/product-detail/C114536.html,0805,Tape & Reel (TR),Thick Film Resistor,560Ω,±1%,150V,125mW,±100ppm/℃
C327339,RC0402FR-0751K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C327339,113200,0.0044,100,100,https://www.lcsc.com/product-detail/C327339.html,0402,Tape & Reel (TR),Thick Film Resistor,51.1kΩ,±1%,50V,62.5mW,±100ppm/℃
C144780,AC0402FR-07220KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144780,111600,0.0025,100,100,https://www.lcsc.com/product-detail/C144780.html,0402,Tape & Reel (TR),Thick Film Resistor,220kΩ,±1%,50V,62.5mW,±100ppm/℃
C137586,RC0805FR-07180KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137586,108200,0.0092,100,100,https://www.lcsc.com/product-detail/C137586.html,0805,Tape & Reel (TR),Thick Film Resistor,180kΩ,±1%,150V,125mW,±100ppm/℃
C144638,AC0603FR-076K8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144638,105800,0.0072,100,100,https://www.lcsc.com/product-detail/C144638.html,0603,Tape & Reel (TR),Thick Film Resistor,6.8kΩ,±1%,75V,100mW,±100ppm/℃
C144802,AC0402FR-07120KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144802,104000,0.0025,100,100,https://www.lcsc.com/product-detail/C144802.html,0402,Tape & Reel (TR),Thick Film Resistor,120kΩ,±1%,50V,62.5mW,±100ppm/℃
C137491,RC0805FR-0775KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137491,103600,0.0093,100,100,https://www.lcsc.com/product-detail/C137491.html,0805,Tape & Reel (TR),Thick Film Resistor,75kΩ,±1%,150V,125mW,±100ppm/℃
