LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C2178183,AS0805KRX7R0BB223,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/f5627b61af9bb3f64838787fe6737e2d.pdf?productCode=C2178183,600,0.0241,50,50,https://www.lcsc.com/product-detail/C2178183.html,0805,Tape & Reel (TR),22nF,±10%,100V,X7R
C2175791,AC0402KPX7R9BB103,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2175791,12800,0.0057,100,100,https://www.lcsc.com/product-detail/C2175791.html,0402,Tape & Reel (TR),10nF,±10%,50V,X7R
C2175333,CC1206KKX7R5BB106,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C2175333,1370,0.1322,10,10,https://www.lcsc.com/product-detail/C2175333.html,1206,Tape & Reel (TR),10uF,±10%,6.3V,X7R
C2174642,AS0805KKX7R0BB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/f5627b61af9bb3f64838787fe6737e2d.pdf?productCode=C2174642,2960,0.0804,10,10,https://www.lcsc.com/product-detail/C2174642.html,0805,Tape & Reel (TR),100nF,±10%,100V,X7R
C2172210,AC1206KKX7R7BB105,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2172210,1375,0.1051,5,5,https://www.lcsc.com/product-detail/C2172210.html,1206,Tape & Reel (TR),1uF,±10%,16V,X7R
C1853443,CC0805KKX7RBBB223,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C1853443,5080,0.0438,20,20,https://www.lcsc.com/product-detail/C1853443.html,0805,Tape & Reel (TR),22nF,±10%,500V,X7R
C1852967,CC0805KRX7R6BB104,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C1852967,9580,0.0285,20,20,https://www.lcsc.com/product-detail/C1852967.html,0805,Tape & Reel (TR),100nF,±10%,10V,X7R
C914880,CC0603KRX7R5BB225,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C914880,4900,0.0399,50,50,https://www.lcsc.com/product-detail/C914880.html,0603,Tape & Reel (TR),2.2uF,±10%,6.3V,X7R
C726606,AC1206KKX7R9BB225,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C726606,1615,0.1616,5,5,https://www.lcsc.com/product-detail/C726606.html,1206,Tape & Reel (TR),2.2uF,±10%,50V,X7R
C726585,AC0805KKX7R9BB334,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C726585,2880,0.0822,10,10,https://www.lcsc.com/product-detail/C726585.html,0805,Tape & Reel (TR),330nF,±10%,50V,X7R
C605212,AC0603JRX7R9BB103,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C605212,6600,0.0288,50,50,https://www.lcsc.com/product-detail/C605212.html,0603,Tape & Reel (TR),10nF,±5%,50V,X7R
C577283,CC1210KKX7RCBB332,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C577283,1100,0.2626,5,5,https://www.lcsc.com/product-detail/C577283.html,1210,Tape & Reel (TR),3.3nF,±10%,1kV,X7R
C577234,CC1206KRX7R0BB472,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C577234,4360,0.0420,20,20,https://www.lcsc.com/product-detail/C577234.html,1206,Tape & Reel (TR),4.7nF,±10%,100V,X7R
C577220,CC1206KKX7R9BB184,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C577220,2820,0.0299,20,20,https://www.lcsc.com/product-detail/C577220.html,1206,Tape & Reel (TR),180nF,±10%,50V,X7R
