LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C276279,RC0402FR-07910RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C276279,5400,0.0010,100,100,https://www.lcsc.com/product-detail/C276279.html,0402,Tape & Reel (TR),Thick Film Resistor,910Ω,±1%,50V,62.5mW,±100ppm/℃
C245924,RC0603FR-0718RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245924,5400,0.0026,100,100,https://www.lcsc.com/product-detail/C245924.html,0603,Tape & Reel (TR),Thick Film Resistor,18Ω,±1%,75V,100mW,±100ppm/℃
C227188,AC0402FR-07681KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227188,5400,0.0012,100,100,https://www.lcsc.com/product-detail/C227188.html,0402,Tape & Reel (TR),Thick Film Resistor,681kΩ,±1%,50V,62.5mW,±100ppm/℃
C226988,AC0402FR-07316RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226988,5400,0.0019,100,100,https://www.lcsc.com/product-detail/C226988.html,0402,Tape & Reel (TR),Thick Film Resistor,316Ω,±1%,50V,62.5mW,±100ppm/℃
C226826,AC0402FR-0718K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226826,5400,0.0033,100,100,https://www.lcsc.com/product-detail/C226826.html,0402,Tape & Reel (TR),Thick Film Resistor,18.2kΩ,±1%,50V,62.5mW,±100ppm/℃
C185365,RC0603FR-0717K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185365,5400,0.0069,100,100,https://www.lcsc.com/product-detail/C185365.html,0603,Tape & Reel (TR),Thick Film Resistor,17.4kΩ,±1%,75V,100mW,±100ppm/℃
C137717,RC0603FR-07475KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137717,5400,0.0071,100,100,https://www.lcsc.com/product-detail/C137717.html,0603,Tape & Reel (TR),Thick Film Resistor,475kΩ,±1%,75V,100mW,±100ppm/℃
C20141290,AC0402FR-7W2K21L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C20141290,5300,0.0027,100,100,https://www.lcsc.com/product-detail/C20141290.html,0402,Tape & Reel (TR),Thick Film Resistor,2.21kΩ,±1%,,125mW,±100ppm/℃
C309542,RC0402FR-07232KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C309542,5300,0.0048,100,100,https://www.lcsc.com/product-detail/C309542.html,0402,Tape & Reel (TR),Thick Film Resistor,232kΩ,±1%,50V,62.5mW,±100ppm/℃
C246015,RC0603FR-07887KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C246015,5300,0.0024,100,100,https://www.lcsc.com/product-detail/C246015.html,0603,Tape & Reel (TR),Thick Film Resistor,887kΩ,±1%,75V,100mW,±100ppm/℃
C245910,RC0603FR-07140RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245910,5300,0.0024,100,100,https://www.lcsc.com/product-detail/C245910.html,0603,Tape & Reel (TR),Thick Film Resistor,140Ω,±1%,75V,100mW,±100ppm/℃
C228958,AC0805FR-0768KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228958,5300,0.0074,100,100,https://www.lcsc.com/product-detail/C228958.html,0805,Tape & Reel (TR),Thick Film Resistor,68kΩ,±1%,150V,125mW,±100ppm/℃
