"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Capacitance","Tolerance","Voltage Rating","Temperature Coefficient","Operating Temperature"
"C14663","CC0603KRX7R9BB104","YAGEO","6807250","50","50","https://www.lcsc.com/product-detail/C14663.html","0603","Tape & Reel (TR)","100nF","±10%","50V","X7R",""
"C14665","CC0603JRNPO9BN101","YAGEO","1107350","50","50","https://www.lcsc.com/product-detail/C14665.html","0603","Tape & Reel (TR)","100pF","±5%","50V","NP0",""
"C21812","GRM31M5C1H473JA01L","muRata","63745","5","5","https://www.lcsc.com/product-detail/C21812.html","1206","Tape & Reel (TR)","47nF","±5%","50V","C0G",""
"C23631","CC1206KKX7RDBB102","YAGEO","468850","50","50","https://www.lcsc.com/product-detail/C23631.html","1206","Tape & Reel (TR)","1nF","±10%","2kV","X7R",""
"C33149","GRM1555C1H180JA01D","muRata","415100","50","50","https://www.lcsc.com/product-detail/C33149.html","0402","Tape & Reel (TR)","18pF","±5%","50V","C0G",""
"C49678","CC0805KRX7R9BB104","YAGEO","2094500","20","20","https://www.lcsc.com/product-detail/C49678.html","0805","Tape & Reel (TR)","100nF","±10%","50V","X7R",""
"C58456","CC0805JRX7R9BB103","YAGEO","35400","100","100","https://www.lcsc.com/product-detail/C58456.html","0805","Tape & Reel (TR)","10nF","±5%","50V","X7R",""
"C60133","CC0402KRX7R9BB103","YAGEO","4434700","100","100","https://www.lcsc.com/product-detail/C60133.html","0402","Tape & Reel (TR)","10nF","±10%","50V","X7R",""
"C60137","CC0402JRNPO9BN470","YAGEO","2219200","100","100","https://www.lcsc.com/product-detail/C60137.html","0402","Tape & Reel (TR)","47pF","±5%","50V","NP0",""
"C60474","CC0402KRX7R7BB104","YAGEO","4354500","100","100","https://www.lcsc.com/product-detail/C60474.html","0402","Tape & Reel (TR)","100nF","±10%","16V","X7R",""
"C62768","CC0805JRNPO9BN101","YAGEO","641200","100","100","https://www.lcsc.com/product-detail/C62768.html","0805","Tape & Reel (TR)","100pF","±5%","50V","NP0",""
"C62771","CC0805JRNPO9BN471","YAGEO","257950","50","50","https://www.lcsc.com/product-detail/C62771.html","0805","Tape & Reel (TR)","470pF","±5%","50V","NP0",""
"C62774","CC0805JRNPO9BN102","YAGEO","574250","50","50","https://www.lcsc.com/product-detail/C62774.html","0805","Tape & Reel (TR)","1nF","±5%","50V","NP0",""
"C62782","CC0603JRNPO9BN680","YAGEO","230850","50","50","https://www.lcsc.com/product-detail/C62782.html","0603","Tape & Reel (TR)","68pF","±5%","50V","NP0",""
"C62784","CC0603JRNPO9BN331","YAGEO","281150","50","50","https://www.lcsc.com/product-detail/C62784.html","0603","Tape & Reel (TR)","330pF","±5%","50V","NP0",""
"C70462","CC1206KKX7R8BB106","YAGEO","153585","5","5","https://www.lcsc.com/product-detail/C70462.html","1206","Tape & Reel (TR)","10uF","±10%","25V","X7R",""
"C70463","CC1206KKX7R0BB105","YAGEO","320510","5","5","https://www.lcsc.com/product-detail/C70463.html","1206","Tape & Reel (TR)","1uF","±10%","100V","X7R",""
"C71651","GRM1885C1H150JA01D","muRata","62400","50","50","https://www.lcsc.com/product-detail/C71651.html","0603","Tape & Reel (TR)","15pF","±5%","50V","C0G",""
"C71664","GRM1885C1H101JA01D","muRata","163160","20","20","https://www.lcsc.com/product-detail/C71664.html","0603","Tape & Reel (TR)","100pF","±5%","50V","C0G",""
"C71693","GRM1555C1H221JA01D","muRata","1196200","100","100","https://www.lcsc.com/product-detail/C71693.html","0402","Tape & Reel (TR)","220pF","±5%","50V","C0G",""
"C76905","GJM1555C1H330GB01D","muRata","6210","10","10","https://www.lcsc.com/product-detail/C76905.html","0402","Tape & Reel (TR)","33pF","±2%","50V","C0G",""
"C76945","GRM1555C1H100GA01D","muRata","30800","50","50","https://www.lcsc.com/product-detail/C76945.html","0402","Tape & Reel (TR)","10pF","±2%","50V","C0G",""
"C76946","GRM1555C1H100JA01D","muRata","296700","100","100","https://www.lcsc.com/product-detail/C76946.html","0402","Tape & Reel (TR)","10pF","±5%","50V","C0G",""
"C76947","GRM1555C1H102JA01D","muRata","1116600","100","100","https://www.lcsc.com/product-detail/C76947.html","0402","Tape & Reel (TR)","1nF","±5%","50V","C0G",""
"C76948","GRM1555C1H120JA01D","muRata","148400","100","100","https://www.lcsc.com/product-detail/C76948.html","0402","Tape & Reel (TR)","12pF","±5%","50V","C0G",""
"C76950","GRM1555C1H150JA01D","muRata","135900","100","100","https://www.lcsc.com/product-detail/C76950.html","0402","Tape & Reel (TR)","15pF","±5%","50V","C0G",""
"C76951","GRM1555C1H151JA01D","muRata","79350","50","50","https://www.lcsc.com/product-detail/C76951.html","0402","Tape & Reel (TR)","150pF","±5%","50V","C0G",""
"C76959","GRM1555C1H200JA01D","muRata","122500","50","50","https://www.lcsc.com/product-detail/C76959.html","0402","Tape & Reel (TR)","20pF","±5%","50V","C0G",""
"C76960","GRM1555C1H220JA01D","muRata","120750","50","50","https://www.lcsc.com/product-detail/C76960.html","0402","Tape & Reel (TR)","22pF","±5%","50V","C0G",""
"C76965","GRM1555C1H331JA01D","muRata","59169","1","1","https://www.lcsc.com/product-detail/C76965.html","0402","Tape & Reel (TR)","330pF","±5%","50V","C0G",""
"C76967","GRM1555C1H391JA01D","muRata","33400","100","100","https://www.lcsc.com/product-detail/C76967.html","0402","Tape & Reel (TR)","390pF","±5%","50V","C0G",""
"C76970","GRM1555C1H470JA01D","muRata","123400","100","100","https://www.lcsc.com/product-detail/C76970.html","0402","Tape & Reel (TR)","47pF","±5%","50V","C0G",""
"C76971","GRM1555C1H471JA01D","muRata","468950","50","50","https://www.lcsc.com/product-detail/C76971.html","0402","Tape & Reel (TR)","470pF","±5%","50V","C0G",""
"C76977","GRM1555C1H680JA01D","muRata","47600","100","100","https://www.lcsc.com/product-detail/C76977.html","0402","Tape & Reel (TR)","68pF","±5%","50V","C0G",""
"C77026","GRM1885C1H102JA01D","muRata","132480","20","20","https://www.lcsc.com/product-detail/C77026.html","0603","Tape & Reel (TR)","1nF","±5%","50V","C0G",""
"C77030","GRM1885C1H200JA01D","muRata","66450","50","50","https://www.lcsc.com/product-detail/C77030.html","0603","Tape & Reel (TR)","20pF","±5%","50V","C0G",""
"C77033","GRM1885C1H222JA01D","muRata","36000","50","50","https://www.lcsc.com/product-detail/C77033.html","0603","Tape & Reel (TR)","2.2nF","±5%","50V","C0G",""
"C77034","GRM1885C1H272JA01D","muRata","18350","50","50","https://www.lcsc.com/product-detail/C77034.html","0603","Tape & Reel (TR)","2.7nF","±5%","50V","C0G",""
"C77035","GRM1885C1H330JA01D","muRata","98200","50","50","https://www.lcsc.com/product-detail/C77035.html","0603","Tape & Reel (TR)","33pF","±5%","50V","C0G",""
"C77036","GRM1885C1H332JA01D","muRata","53520","20","20","https://www.lcsc.com/product-detail/C77036.html","0603","Tape & Reel (TR)","3.3nF","±5%","50V","C0G",""
"C77059","GRM2165C1H101JA01D","muRata","16740","20","20","https://www.lcsc.com/product-detail/C77059.html","0805","Tape & Reel (TR)","100pF","±5%","50V","C0G",""
"C77060","GRM2165C1H222JA01D","muRata","14520","20","20","https://www.lcsc.com/product-detail/C77060.html","0805","Tape & Reel (TR)","2.2nF","±5%","50V","C0G",""
"C77062","GRM2165C1H332JA01D","muRata","35620","20","20","https://www.lcsc.com/product-detail/C77062.html","0805","Tape & Reel (TR)","3.3nF","±5%","50V","C0G",""
"C77063","GRM2165C1H472JA01D","muRata","39040","20","20","https://www.lcsc.com/product-detail/C77063.html","0805","Tape & Reel (TR)","4.7nF","±5%","50V","C0G",""
"C77067","GRM2195C1H562JA01D","muRata","12880","20","20","https://www.lcsc.com/product-detail/C77067.html","0805","Tape & Reel (TR)","5.6nF","±5%","50V","C0G",""
"C77068","GRM2195C1H682JA01D","muRata","19820","20","20","https://www.lcsc.com/product-detail/C77068.html","0805","Tape & Reel (TR)","6.8nF","±5%","50V","C0G",""
"C77069","GRM21B5C1H223JA01L","muRata","45280","10","10","https://www.lcsc.com/product-detail/C77069.html","0805","Tape & Reel (TR)","22nF","±5%","50V","C0G",""
"C77084","GRM31C5C1H683JA01L","muRata","5990","5","5","https://www.lcsc.com/product-detail/C77084.html","1206","Tape & Reel (TR)","68nF","±5%","50V","C0G",""
"C77177","GRM1555C1H101JA01D","muRata","998850","50","50","https://www.lcsc.com/product-detail/C77177.html","0402","Tape & Reel (TR)","100pF","±5%","50V","C0G",""
"C77390","GRM1885C1H201JA01D","muRata","5100","50","50","https://www.lcsc.com/product-detail/C77390.html","0603","Tape & Reel (TR)","200pF","±5%","50V","C0G",""
"C77590","CC0402JRNPO9BN160","YAGEO","238300","100","100","https://www.lcsc.com/product-detail/C77590.html","0402","Tape & Reel (TR)","16pF","±5%","50V","NP0",""
"C79547","06035A100JAT2A","Kyocera AVX","5500","100","100","https://www.lcsc.com/product-detail/C79547.html","0603","Tape & Reel (TR)","10pF","±5%","50V","C0G",""
