"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Capacitance","Tolerance","Voltage Rating","Temperature Coefficient","Operating Temperature"
"C14663","CC0603KRX7R9BB104","YAGEO","6807250","50","50","https://www.lcsc.com/product-detail/C14663.html","0603","Tape & Reel (TR)","100nF","±10%","50V","X7R",""
"C23631","CC1206KKX7RDBB102","YAGEO","468850","50","50","https://www.lcsc.com/product-detail/C23631.html","1206","Tape & Reel (TR)","1nF","±10%","2kV","X7R",""
"C49678","CC0805KRX7R9BB104","YAGEO","2094500","20","20","https://www.lcsc.com/product-detail/C49678.html","0805","Tape & Reel (TR)","100nF","±10%","50V","X7R",""
"C58456","CC0805JRX7R9BB103","YAGEO","35400","100","100","https://www.lcsc.com/product-detail/C58456.html","0805","Tape & Reel (TR)","10nF","±5%","50V","X7R",""
"C60133","CC0402KRX7R9BB103","YAGEO","4434700","100","100","https://www.lcsc.com/product-detail/C60133.html","0402","Tape & Reel (TR)","10nF","±10%","50V","X7R",""
"C60474","CC0402KRX7R7BB104","YAGEO","4354500","100","100","https://www.lcsc.com/product-detail/C60474.html","0402","Tape & Reel (TR)","100nF","±10%","16V","X7R",""
"C70462","CC1206KKX7R8BB106","YAGEO","153585","5","5","https://www.lcsc.com/product-detail/C70462.html","1206","Tape & Reel (TR)","10uF","±10%","25V","X7R",""
"C70463","CC1206KKX7R0BB105","YAGEO","320510","5","5","https://www.lcsc.com/product-detail/C70463.html","1206","Tape & Reel (TR)","1uF","±10%","100V","X7R",""
"C82601","CC1206KRX7R9BB104","YAGEO","1369100","50","50","https://www.lcsc.com/product-detail/C82601.html","1206","Tape & Reel (TR)","100nF","±10%","50V","X7R",""
"C83170","CC0805KRX7R9BB103","YAGEO","352550","50","50","https://www.lcsc.com/product-detail/C83170.html","0805","Tape & Reel (TR)","10nF","±10%","50V","X7R",""
"C91183","CC0603JRX7R9BB104","YAGEO","1775100","20","20","https://www.lcsc.com/product-detail/C91183.html","0603","Tape & Reel (TR)","100nF","±5%","50V","X7R",""
"C91185","CC0805KKX7R9BB105","YAGEO","481860","10","10","https://www.lcsc.com/product-detail/C91185.html","0805","Tape & Reel (TR)","1uF","±10%","50V","X7R",""
"C91186","CC0805KKX7R8BB105","YAGEO","349280","10","10","https://www.lcsc.com/product-detail/C91186.html","0805","Tape & Reel (TR)","1uF","±10%","25V","X7R",""
"C92490","CC0603KRX7R8BB104","YAGEO","1768600","50","50","https://www.lcsc.com/product-detail/C92490.html","0603","Tape & Reel (TR)","100nF","±10%","25V","X7R",""
"C93654","CC0402KRX7R9BB682","YAGEO","523400","100","100","https://www.lcsc.com/product-detail/C93654.html","0402","Tape & Reel (TR)","6.8nF","±10%","50V","X7R",""
"C93920","CC0402JRX7R9BB102","YAGEO","472000","100","100","https://www.lcsc.com/product-detail/C93920.html","0402","Tape & Reel (TR)","1nF","±5%","50V","X7R",""
"C94121","CC0805KRX7R9BB102","YAGEO","662600","50","50","https://www.lcsc.com/product-detail/C94121.html","0805","Tape & Reel (TR)","1nF","±10%","50V","X7R",""
"C94122","CC0805KKX7R7BB105","YAGEO","141080","20","20","https://www.lcsc.com/product-detail/C94122.html","0805","Tape & Reel (TR)","1uF","±10%","16V","X7R",""
"C96090","CC0603KRX7R9BB152","YAGEO","1109000","100","100","https://www.lcsc.com/product-detail/C96090.html","0603","Tape & Reel (TR)","1.5nF","±10%","50V","X7R",""
"C100040","CC0603KRX7R9BB102","YAGEO","1751300","50","50","https://www.lcsc.com/product-detail/C100040.html","0603","Tape & Reel (TR)","1nF","±10%","50V","X7R",""
"C100042","CC0603KRX7R9BB103","YAGEO","3509000","50","50","https://www.lcsc.com/product-detail/C100042.html","0603","Tape & Reel (TR)","10nF","±10%","50V","X7R",""
"C105883","CC0402KRX7R8BB104","YAGEO","2027000","100","100","https://www.lcsc.com/product-detail/C105883.html","0402","Tape & Reel (TR)","100nF","±10%","25V","X7R",""
"C106205","CC0402KRX7R9BB102","YAGEO","3806000","100","100","https://www.lcsc.com/product-detail/C106205.html","0402","Tape & Reel (TR)","1nF","±10%","50V","X7R",""
