LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Operating Temperature
C723416,AC0402JRNPO9BN680,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C723416,4100,0.0070,100,100,https://www.lcsc.com/product-detail/C723416.html,0402,Tape & Reel (TR),68pF,±5%,50V,NP0,
C599749,C0603C470J5GAC7867,KEMET,https://datasheet.lcsc.com/datasheet/pdf/a99f7a15465b79482c0e0729d9d6b76f.pdf?productCode=C599749,4100,0.0196,50,50,https://www.lcsc.com/product-detail/C599749.html,0603,Tape & Reel (TR),47pF,±5%,50V,C0G,
C527211,CC0805JRNPOBBN121,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C527211,4100,0.0226,50,50,https://www.lcsc.com/product-detail/C527211.html,0805,Tape & Reel (TR),120pF,±5%,500V,NP0,
C519569,CC0603FRNPO9BN201,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C519569,4100,0.0405,20,20,https://www.lcsc.com/product-detail/C519569.html,0603,Tape & Reel (TR),200pF,±1%,50V,NP0,
C519518,CC0603JRX7R9BB391,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C519518,4100,0.0104,100,100,https://www.lcsc.com/product-detail/C519518.html,0603,Tape & Reel (TR),390pF,±5%,50V,X7R,
C440147,GCM1885C1H181JA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/487017f6b54a225cb531ae9163fbe3cd.pdf?productCode=C440147,4100,0.0347,20,20,https://www.lcsc.com/product-detail/C440147.html,0603,Tape & Reel (TR),180pF,±5%,50V,C0G,
C513316,04025A180JAT2A,Kyocera AVX,,4090,0.0042,10,10,https://www.lcsc.com/product-detail/C513316.html,0402,Tape & Reel (TR),18pF,±5%,50V,C0G,
C882565,GJM1555C1H300FB01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/86da1ba5b9528913d30694d2ba31a0ee.pdf?productCode=C882565,4080,0.0394,20,20,https://www.lcsc.com/product-detail/C882565.html,0402,Tape & Reel (TR),30pF,±1%,50V,C0G,
C605216,AC0603JRX7R9BB223,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C605216,4080,0.0287,20,20,https://www.lcsc.com/product-detail/C605216.html,0603,Tape & Reel (TR),22nF,±5%,50V,X7R,
C2181572,GQM1875C2E150JB12D,muRata,https://datasheet.lcsc.com/datasheet/pdf/874695ec05b64e47712b911bccd14a9c.pdf?productCode=C2181572,4070,0.2483,5,5,https://www.lcsc.com/product-detail/C2181572.html,0603,Tape & Reel (TR),15pF,±5%,250V,C0G,
C3856821,GRM1555C1H682GE01D,muRata,https://datasheet.lcsc.com/datasheet/pdf/7fe4037747be41b9bf0ffcd5d4a97d6e.pdf?productCode=C3856821,4060,0.0401,20,20,https://www.lcsc.com/product-detail/C3856821.html,0402,Tape & Reel (TR),6.8nF,±2%,50V,C0G,
C6348878,VJ0603Y153JXAAC,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/b6aa511fef9fa0fcadeac8292efccfe4.pdf?productCode=C6348878,4050,0.1623,5,5,https://www.lcsc.com/product-detail/C6348878.html,0603,Tape & Reel (TR),15nF,±5%,50V,X7R,
C1853752,CC0603JRNPOYBN680,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C1853752,4050,0.0145,50,50,https://www.lcsc.com/product-detail/C1853752.html,0603,Tape & Reel (TR),68pF,±5%,250V,NP0,
C1853012,CC0805JRNPOYBN680,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C1853012,4050,0.0157,50,50,https://www.lcsc.com/product-detail/C1853012.html,0805,Tape & Reel (TR),68pF,±5%,250V,NP0,
C576975,CC0805JRNPOBBN151,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C576975,4050,0.0238,50,50,https://www.lcsc.com/product-detail/C576975.html,0805,Tape & Reel (TR),150pF,±5%,500V,NP0,
C520090,CC0805GRNPO9BN471,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C520090,4050,0.0234,50,50,https://www.lcsc.com/product-detail/C520090.html,0805,Tape & Reel (TR),470pF,±2%,50V,NP0,
C519536,CC0603JRX7R7BB473,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C519536,4050,0.0081,50,50,https://www.lcsc.com/product-detail/C519536.html,0603,Tape & Reel (TR),47nF,±5%,16V,X7R,
C327193,CC0805JRNPO0BN820,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C327193,4050,0.0243,50,50,https://www.lcsc.com/product-detail/C327193.html,0805,Tape & Reel (TR),82pF,±5%,100V,NP0,
C327168,CC0603GRNPO9BN121,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C327168,4050,0.0150,50,50,https://www.lcsc.com/product-detail/C327168.html,0603,Tape & Reel (TR),120pF,±2%,50V,NP0,
C107043,CC0603JRNPO9BN222,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C107043,4050,0.0279,50,50,https://www.lcsc.com/product-detail/C107043.html,0603,Tape & Reel (TR),2.2nF,±5%,50V,NP0,
C1864236,GCM1885C2A820FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/993faa3b0c19c8a37aab5981ea2188fa.pdf?productCode=C1864236,4030,0.0565,10,10,https://www.lcsc.com/product-detail/C1864236.html,0603,Tape & Reel (TR),82pF,±1%,100V,C0G,
C2191157,AC0603JRNPO9BN270,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2191157,4020,0.0226,20,20,https://www.lcsc.com/product-detail/C2191157.html,0603,Tape & Reel (TR),27pF,±5%,50V,NP0,
C55208131,TFCT500G222J1GV001T,Johanson Dielectrics,https://datasheet.lcsc.com/datasheet/pdf/523f3ccdd4c688055eb7b3de4951d1ce.pdf?productCode=C55208131,4000,0.0606,10,10,https://www.lcsc.com/product-detail/C55208131.html,0805,Tape & Reel (TR),2.2nF,±5%,50V,C0G,-55℃~+125℃
