LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient
C577131,CC1206JKNPOZBN102,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/9a86cbae8c34c796174906a7ab23dad0.pdf?productCode=C577131,1340,0.0738,20,20,https://www.lcsc.com/product-detail/C577131.html,1206,Tape & Reel (TR),1nF,±5%,630V,NP0
C3905874,GCM1885C1H392FA16J,muRata,https://datasheet.lcsc.com/datasheet/pdf/4e8d7631f29271d5f6b8ceeb47e1bc7a.pdf?productCode=C3905874,1330,0.0765,5,5,https://www.lcsc.com/product-detail/C3905874.html,0603,Tape & Reel (TR),3.9nF,±1%,50V,C0G
C882573,GCM1885C2A471FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/fbd128d5c5af0bc52550dd48dd74b678.pdf?productCode=C882573,1325,0.0937,5,5,https://www.lcsc.com/product-detail/C882573.html,0603,Tape & Reel (TR),470pF,±1%,100V,C0G
C2170387,C0805C221J1GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2170387,1320,0.0356,20,20,https://www.lcsc.com/product-detail/C2170387.html,0805,Tape & Reel (TR),220pF,±5%,100V,C0G
C2170162,C0805C151J2GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2170162,1320,0.0491,10,10,https://www.lcsc.com/product-detail/C2170162.html,0805,Tape & Reel (TR),150pF,±5%,200V,C0G
C2167469,C0402C471J5GACTU,KEMET,https://datasheet.lcsc.com/datasheet/pdf/39767117ba5ceac409bdd2bc668d7c59.pdf?productCode=C2167469,1320,0.0282,20,20,https://www.lcsc.com/product-detail/C2167469.html,0402,Tape & Reel (TR),470pF,±5%,50V,C0G
C1864376,GCM1555C1H821FA16D,muRata,https://datasheet.lcsc.com/datasheet/pdf/2e29c77d887b89bddbd7146c8eec0816.pdf?productCode=C1864376,1320,0.0222,20,20,https://www.lcsc.com/product-detail/C1864376.html,0402,Tape & Reel (TR),820pF,±1%,50V,C0G
C2319426,GQM2195C2E151JB12D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d1a40d3b288ffa65fc8d60b488270cd4.pdf?productCode=C2319426,1315,0.1833,5,5,https://www.lcsc.com/product-detail/C2319426.html,0805,Tape & Reel (TR),150pF,±5%,250V,C0G
C3882271,GCM1885C1H472JA16J,muRata,https://datasheet.lcsc.com/datasheet/pdf/481ade60daef86bb7955c2d2a122ebe7.pdf?productCode=C3882271,1300,0.1002,5,5,https://www.lcsc.com/product-detail/C3882271.html,0603,Tape & Reel (TR),4.7nF,±5%,50V,C0G
C2194375,AC0603JRNPO0BN330,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/e147909414eb3b900a42b90481dc8914.pdf?productCode=C2194375,1300,0.0124,100,100,https://www.lcsc.com/product-detail/C2194375.html,0603,Tape & Reel (TR),33pF,±5%,100V,NP0
