LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Lamp Holder Type,Diode Configuration,Viewing Angle,Voltage - Forward(Vf),Peak Wavelength,Illumination Color,Operating Temperature,Lens Color,ESD Withstand Voltage,Installation method,Length,Width,Wavelength,Height,Forward Current,Color Temperature,Pitch,Luminous Intensity,Dominant Wavelength - G,Dominant Wavelength - B,Dominant Wavelength - R,Luminous Intensity - G,Luminous Intensity - B,Luminous Intensity - R,Peak Wavelength - G,Peak Wavelength - B,Peak Wavelength - R
C5349936,XL-1608RGBC,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/19497a2844d2fb155d08d3f1537c8b66.pdf?productCode=C5349936,27120,0.0436,10,10,https://www.lcsc.com/product-detail/C5349936.html,"SMD-4P,1.6x0.8mm",Tape & Reel (TR),-,-,120°,,,,-30℃~+85℃,Water Clear,2000V,Top-mount,1.6mm,0.8mm,,0.6mm,,,-,,520nm~535nm,460nm~475nm,620nm~625nm,-,-,-,530nm,470nm,630nm
C55338548,XL-1608UGGC,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/c433292f3095b794c3f1e74e65e936e0.pdf?productCode=C55338548,4000,0.0198,50,50,https://www.lcsc.com/product-detail/C55338548.html,0603,Tape & Reel (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,
C55338547,XL-1608SRRC,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/1c4838639bfe368be4bde0b825eeab5d.pdf?productCode=C55338547,3950,0.0178,50,50,https://www.lcsc.com/product-detail/C55338547.html,0603,Tape & Reel (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,
C965807,XL-1608UBC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/399b5621ad7d893d62c6cc75a71fb1c5.pdf?productCode=C965807,1918200,0.0043,100,100,https://www.lcsc.com/product-detail/C965807.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,3.3V,470nm,Blue,-40℃~+85℃,Water Clear,,Top-mount,,,455nm~475nm,,20mA,-,,300mcd,,,,,,,,,
C965804,XL-1608UGC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/6b7293b42c3b9e043993e4b0f98f47bf.pdf?productCode=C965804,5668700,0.0051,100,100,https://www.lcsc.com/product-detail/C965804.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,3.3V,525nm,Emerald Green,-40℃~+85℃,Water Clear,,Top-mount,,,515nm~535nm,,20mA,-,,810mcd,,,,,,,,,
C965810,XL-1608WWC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/d812bb0c4d5c2c96c895a2403f2737d4.pdf?productCode=C965810,236050,0.0121,50,50,https://www.lcsc.com/product-detail/C965810.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,130°,3.3V,-,Warm White,-40℃~+85℃,Yellow Lens,,Top-mount,,,-,,20mA,2500K~3000K,,780mcd,,,,,,,,,
C965800,XL-1608UOC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/4a1fe810be4a14ca105e209c2eaa001e.pdf?productCode=C965800,509900,0.0071,100,100,https://www.lcsc.com/product-detail/C965800.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.3V,605nm,Orange,-40℃~+85℃,Water Clear,,Top-mount,,,600nm~610nm,,20mA,-,,315mcd,,,,,,,,,
C5349934,XL-1608SURUGC,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/d79da0963ce13e3bbcd2c1f63fbb419d.pdf?productCode=C5349934,190180,0.0308,20,20,https://www.lcsc.com/product-detail/C5349934.html,"SMD-4P,1.6x0.8mm",Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.8V~3.5V;1.8V~2.6V,630nm;525nm,"Red, Emerald Green",-40℃~+85℃,Water Clear,,Top-mount,,,520nm~530nm;620nm~630nm,,20mA,-,,550mcd;150mcd,,,,,,,,,
C965802,XL-1608UYC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/7f901fe5e60916d931e3057e0dae738b.pdf?productCode=C965802,1180600,0.0075,100,100,https://www.lcsc.com/product-detail/C965802.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.4V,590nm,Yellow,-40℃~+85℃,Water Clear,,Top-mount,,,585nm~595nm,,20mA,-,,435mcd,,,,,,,,,
C965808,XL-1608UWC-04,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/d4212d36dbbaa731df6f1a801937173e.pdf?productCode=C965808,2796200,0.0049,100,100,https://www.lcsc.com/product-detail/C965808.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.7V,-,White,-40℃~+85℃,Yellow Lens,,Top-mount,,,-,,20mA,10000K~33000K,,130mcd,,,,,,,,,
C7371905,XL-1608PGC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/f0053fb73501b9b191307b41af4746b6.pdf?productCode=C7371905,904800,0.0112,50,50,https://www.lcsc.com/product-detail/C7371905.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.6V~3V,525nm,Emerald Green,-20℃~+85℃,Green Lens,,Top-mount,,,515nm~530nm,,30mA,-,,900mcd,,,,,,,,,
C7371906,XL-1608VRC-06,XINGLIGHT,https://datasheet.lcsc.com/datasheet/pdf/20a89d9814f5118acaa5dce5dfafea9a.pdf?productCode=C7371906,77500,0.0116,50,50,https://www.lcsc.com/product-detail/C7371906.html,0603,Tape & Reel (TR),1.6mm x 0.8mm square LED,Discrete Diode,120°,2.7V~3.4V,625nm,Red,-40℃~+85℃,Red Lens,,Top-mount,,,615nm~630nm,,5mA,-,,300mcd,,,,,,,,,
