LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C224024,SMBJ7.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224024,895,0.1493,5,5,https://www.lcsc.com/product-detail/C224024.html,DO-214AA,Tape & Reel (TR),Unidirectional,12V,200uA,TVS,600W@10/1000us,-65℃~+150℃,7V,8.6V,1,50A@10/1000us
C151270,SMBJ7.0CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C151270,860,0.1512,5,5,https://www.lcsc.com/product-detail/C151270.html,DO-214AA,Tape & Reel (TR),Bidirectional,12V,200uA,TVS,600W@10/1000us,-65℃~+150℃,7V,8.6V,1,50A@10/1000us
C1975135,TPSMB20CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/c4b05efd8433d3cce79b8c6653d5b081.pdf?productCode=C1975135,825,0.1911,5,5,https://www.lcsc.com/product-detail/C1975135.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,27.7V,1uA,TVS,600W@10/1000us,,17.1V,19V,1,22A
C720171,SMBJ45A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C720171,805,0.1204,5,5,https://www.lcsc.com/product-detail/C720171.html,DO-214AA,Tape & Reel (TR),Unidirectional,72.7V,8.3uA,TVS,600W@10/1000us,-65℃~+150℃,45V,50V,1,8.3A
C1973095,SMBJ7.5A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C1973095,725,0.0979,5,5,https://www.lcsc.com/product-detail/C1973095.html,DO-214AA,Tape & Reel (TR),Unidirectional,12.9V,100uA,TVS,600W@10/1000us,-65℃~+150℃,7.5V,9.21V,1,46.6A@10/1000us
C1974792,SMBJ110CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C1974792,715,0.1377,5,5,https://www.lcsc.com/product-detail/C1974792.html,DO-214AA,Tape & Reel (TR),Bidirectional,177V,1uA,TVS,600W@10/1000us,-65℃~+150℃,110V,122V,1,3.4A
C224022,SMBJ54CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224022,705,0.1244,5,5,https://www.lcsc.com/product-detail/C224022.html,DO-214AA,,Bidirectional,87.1V,1uA,TVS,600W@10/1000us,-65℃~+150℃,54V,66.3V,1,6.9A@10/1000us
C1974926,SMBJ78A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C1974926,670,0.1165,5,5,https://www.lcsc.com/product-detail/C1974926.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,126V,1uA,TVS,600W@10/1000us,-65℃~+150℃,78V,86.7V,1,4.8A
C224023,SMBJ60A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224023,595,0.1320,5,5,https://www.lcsc.com/product-detail/C224023.html,DO-214AA,Tape & Reel (TR),Unidirectional,93.6V,1uA,TVS,600W@10/1000us,-65℃~+150℃,60V,71.2V,1,6.5A@10/1000us
C3719876,SMBJ220A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C3719876,540,0.2400,5,5,https://www.lcsc.com/product-detail/C3719876.html,DO-214AA,Tape & Reel (TR),Unidirectional,356V,1uA,TVS,600W@10/1000us,-65℃~+150℃,220V,246V,1,1.7A
C224010,SMBJ150CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224010,540,0.1469,5,5,https://www.lcsc.com/product-detail/C224010.html,DO-214AA,Tape & Reel (TR),Bidirectional,243V,1uA,TVS,600W@10/1000us,-65℃~+150℃,150V,185V,1,2.5A@10/1000us
C1972948,SMBJ250CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C1972948,535,0.2845,5,5,https://www.lcsc.com/product-detail/C1972948.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,405V,1uA,TVS,600W@10/1000us,-65℃~+150℃,250V,309V,1,1.5A
C85171,SMBJ440CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C85171,490,0.3701,5,5,https://www.lcsc.com/product-detail/C85171.html,SMB(DO-214AA),Tape & Reel (TR),Bidirectional,713V,1uA,TVS,600W@10/1000us,-65℃~+150℃,440V,492V,1,900mA
