"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C22399894","MMSZ5225B","R+O","16500","50","50","https://www.lcsc.com/product-detail/C22399894.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3V","50uA@1V","2.85V~3.15V","-55℃~+150℃","30Ω","-","-"
"C22395553","MMSZ5227B","R+O","10900","50","50","https://www.lcsc.com/product-detail/C22395553.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.6V","15uA@1V","3.42V~3.78V","-55℃~+150℃","24Ω","-","-"
"C22399895","MMSZ5228B","R+O","22650","50","50","https://www.lcsc.com/product-detail/C22399895.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","3.9V","10uA@1V","3.71V~4.1V","-55℃~+150℃","23Ω","-","-"
"C22399896","MMSZ5229B","R+O","32520","20","20","https://www.lcsc.com/product-detail/C22399896.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","4.3V","5uA@1V","4.09V~4.52V","-55℃~+150℃","22Ω","-","-"
"C22395554","MMSZ5230B","R+O","23780","20","20","https://www.lcsc.com/product-detail/C22395554.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","4.7V","5uA@2V","4.47V~4.94V","-55℃~+150℃","19Ω","-","-"
"C19077422","MMSZ5231B","R+O","35450","50","50","https://www.lcsc.com/product-detail/C19077422.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.1V","5uA@2V","4.85V~5.36V","-55℃~+150℃","17Ω","-","-"
"C19077423","MMSZ5232B","R+O","57150","50","50","https://www.lcsc.com/product-detail/C19077423.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.4V","5uA@3V","5.32V~5.88V","-55℃~+150℃","11Ω","-","-"
"C22395555","MMSZ5234B","R+O","2680","20","20","https://www.lcsc.com/product-detail/C22395555.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","6.2V","5uA@4V","5.89V~6.51V","-55℃~+150℃","7Ω","-","-"
"C19077424","MMSZ5235B","R+O","175900","50","50","https://www.lcsc.com/product-detail/C19077424.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","6.8V","3uA","6.46V~7.14V","-55℃~+150℃","5Ω","-","-"
"C22395556","MMSZ5236B","R+O","14350","50","50","https://www.lcsc.com/product-detail/C22395556.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","7.5V","3uA@6V","7.13V~7.88V","-55℃~+150℃","6Ω","-","-"
