"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C2124","MMSZ5235B","JSCJ","640","20","20","https://www.lcsc.com/product-detail/C2124.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","6.8V","3uA","6.46V~7.14V","-65℃~+150℃","5Ω","750Ω","-"
"C2125","MMSZ5238B","JSCJ","1380","20","20","https://www.lcsc.com/product-detail/C2125.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","8.7V","3uA","8.27V~9.14V","-65℃~+150℃","8Ω","600Ω","-"
"C2126","MMSZ5245B","JSCJ","112840","20","20","https://www.lcsc.com/product-detail/C2126.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","15V","100nA","14.25V~15.75V","-65℃~+150℃","16Ω","600Ω","-"
"C2127","MMSZ5248B","JSCJ","36880","20","20","https://www.lcsc.com/product-detail/C2127.html","SOD-123","Tape & Reel (TR)","1 Independent","350mW","18V","100nA@14V","17.1V~18.9V","-","21Ω","600Ω","-"
"C2130","MMSZ5248BS","JSCJ","1220","20","20","https://www.lcsc.com/product-detail/C2130.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","18V","100nA","17.1V~18.9V","-65℃~+150℃","21Ω","600Ω",""
"C2131","MMSZ5250BS","JSCJ","2020","20","20","https://www.lcsc.com/product-detail/C2131.html","SOD-323","Tape & Reel (TR)","1 Independent","200mW","20V","100nA","19V~21V","-65℃~+150℃","25Ω","600Ω","-"
"C12725","LBZX84C3V9LT1G","LRC","8050","50","50","https://www.lcsc.com/product-detail/C12725.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","3.9V","3uA","3.7V~4.1V","-55℃~+150℃","90Ω","110Ω","-"
"C12726","LBZX84C4V3LT1G","LRC","850","50","50","https://www.lcsc.com/product-detail/C12726.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.3V","3uA","4V~4.6V","-55℃~+150℃","90Ω","480Ω","-"
"C12727","LBZX84C4V7LT1G","LRC","17220","20","20","https://www.lcsc.com/product-detail/C12727.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","4.7V","3uA","4.4V~5V","-55℃~+150℃","80Ω","600Ω","-"
"C12728","LBZX84C5V6LT1G","LRC","3300","20","20","https://www.lcsc.com/product-detail/C12728.html","SOT-23","Tape & Reel (TR)","1 Independent","300mW","5.6V","1uA","5.2V~6V","-55℃~+150℃","40Ω","170Ω","-"
