LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Diode Configuration,Pd - Power Dissipation,Zener Voltage(Nom),Reverse Leakage Current (Ir),Zener Voltage(Range),Operating Junction Temperature Range,Impedance(Zzt),Impedance(Zzk),Tolerance
C22395565,MMSZ5246BS,R+O,https://datasheet.lcsc.com/datasheet/pdf/fd38dbf7891eeab523fe4c8bd002891d.pdf?productCode=C22395565,339140,0.0202,20,20,https://www.lcsc.com/product-detail/C22395565.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,16V,100nA@12V,15.2V~16.8V,-55℃~+150℃,17Ω,600Ω,-
C19077424,MMSZ5235B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077424,175900,0.0205,50,50,https://www.lcsc.com/product-detail/C19077424.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,6.8V,3uA,6.46V~7.14V,-55℃~+150℃,5Ω,-,-
C66198,MMSZ5231BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/03657490163bd8bf58522f8bf8ee19e0.pdf?productCode=C66198,124440,0.0322,20,20,https://www.lcsc.com/product-detail/C66198.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.1V,5uA,4.85V~5.36V,-55℃~+150℃,17Ω,1.6kΩ,
C500776,MMSZ5242B-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C500776,117020,0.0447,10,10,https://www.lcsc.com/product-detail/C500776.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,12V,1uA@9.1V,11.4V~12.6V,-65℃~+150℃,30Ω,600Ω,
C2126,MMSZ5245B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/58b652fc1b904f6b8e3559cdcdfa014a.pdf?productCode=C2126,112840,0.0263,20,20,https://www.lcsc.com/product-detail/C2126.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,15V,100nA,14.25V~15.75V,-65℃~+150℃,16Ω,600Ω,-
C19077428,MMSZ5245B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077428,96740,0.0224,20,20,https://www.lcsc.com/product-detail/C19077428.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,15V,100nA@11V,14.25V~15.75V,-55℃~+150℃,16Ω,-,-
C150760,MMSZ5236B-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C150760,83760,0.0419,10,10,https://www.lcsc.com/product-detail/C150760.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,7.5V,3uA@6V,7.13V~7.88V,-65℃~+150℃,6Ω,500Ω,
C19077426,MMSZ5242B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077426,82800,0.0143,50,50,https://www.lcsc.com/product-detail/C19077426.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,12V,1uA@9.1V,11.4V~12.6V,-55℃~+150℃,30Ω,-,-
C85181,MMSZ5231B-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C85181,64560,0.0386,10,10,https://www.lcsc.com/product-detail/C85181.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,5.1V,5uA@2V,4.85V~5.36V,-65℃~+150℃,17Ω,1.6kΩ,
C236103,MMSZ5237BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/a417117b178bdb08a63a89816e1c6d80.pdf?productCode=C236103,63350,0.0392,10,10,https://www.lcsc.com/product-detail/C236103.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,8.2V,3uA@6.5V,7.79V~8.61V,-55℃~+150℃,8Ω,500Ω,-
C19077433,MMSZ5256B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077433,60200,0.0198,50,50,https://www.lcsc.com/product-detail/C19077433.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,30V,100nA@25V,28.5V~31.5V,-55℃~+150℃,49Ω,-,-
C19077423,MMSZ5232B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077423,57150,0.0145,50,50,https://www.lcsc.com/product-detail/C19077423.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.4V,5uA@3V,5.32V~5.88V,-55℃~+150℃,11Ω,-,-
C21554,MMSZ5232B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/58b652fc1b904f6b8e3559cdcdfa014a.pdf?productCode=C21554,49820,0.0262,20,20,https://www.lcsc.com/product-detail/C21554.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,5.6V,5uA@3V,5.32V~5.88V,-65℃~+150℃,11Ω,1.6kΩ,-
C22395558,MMSZ5239B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C22395558,49000,0.0251,20,20,https://www.lcsc.com/product-detail/C22395558.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,9.1V,3uA@7V,8.65V~9.56V,-55℃~+150℃,10Ω,-,-
C19077431,MMSZ5250B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077431,47840,0.0224,20,20,https://www.lcsc.com/product-detail/C19077431.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,20V,100nA@15V,19V~21V,-55℃~+150℃,25Ω,-,-
C129730,MMSZ5245BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/03657490163bd8bf58522f8bf8ee19e0.pdf?productCode=C129730,44500,0.0382,20,20,https://www.lcsc.com/product-detail/C129730.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,15V,100nA@11V,14.25V~15.75V,-55℃~+150℃,16Ω,600Ω,
C235771,MMSZ5226BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/5fd4ed59a1ff9e393f15d5588166eb54.pdf?productCode=C235771,41820,0.0522,20,20,https://www.lcsc.com/product-detail/C235771.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,3.3V,25uA@1V,3.14V~3.47V,-55℃~+150℃,28Ω,1.6kΩ,±5%
C151060,MMSZ5240B-7-F,DIODES,https://datasheet.lcsc.com/datasheet/pdf/9fcdbb98526725f0b0a14ceb5eec7814.pdf?productCode=C151060,40900,0.0274,20,20,https://www.lcsc.com/product-detail/C151060.html,SOD-123,Tape & Reel (TR),1 Independent,370mW,10V,3uA@8V,9.5V~10.5V,-65℃~+150℃,17Ω,600Ω,
C21567,MMSZ5242B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/58b652fc1b904f6b8e3559cdcdfa014a.pdf?productCode=C21567,37400,0.0258,20,20,https://www.lcsc.com/product-detail/C21567.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,12V,1uA,11.4V~12.6V,-65℃~+150℃,30Ω,600Ω,-
C2127,MMSZ5248B,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/f97a793b8f144723a3b97cb6ba548073.pdf?productCode=C2127,36880,0.0269,20,20,https://www.lcsc.com/product-detail/C2127.html,SOD-123,Tape & Reel (TR),1 Independent,350mW,18V,100nA@14V,17.1V~18.9V,-,21Ω,600Ω,-
C3031842,MMSZ5240BS,JSCJ,https://datasheet.lcsc.com/datasheet/pdf/f2d70d7d0aa0540a5373d968a7944db0.pdf?productCode=C3031842,36820,0.0341,20,20,https://www.lcsc.com/product-detail/C3031842.html,SOD-323,Tape & Reel (TR),1 Independent,200mW,10V,3uA,9.5V~10.5V,-55℃~+150℃,17Ω,600Ω,-
C891728,MMSZ5239BT1G,onsemi,https://datasheet.lcsc.com/datasheet/pdf/5a374e46bcab3fc14af9b2d0da1caf6a.pdf?productCode=C891728,36150,0.0465,10,10,https://www.lcsc.com/product-detail/C891728.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,9.1V,3uA@7V,8.65V~9.56V,-55℃~+150℃,10Ω,600Ω,
C19077422,MMSZ5231B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C19077422,35450,0.0221,50,50,https://www.lcsc.com/product-detail/C19077422.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,5.1V,5uA@2V,4.85V~5.36V,-55℃~+150℃,17Ω,-,-
C22399896,MMSZ5229B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C22399896,32520,0.0235,20,20,https://www.lcsc.com/product-detail/C22399896.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,4.3V,5uA@1V,4.09V~4.52V,-55℃~+150℃,22Ω,-,-
C22395560,MMSZ5251B,R+O,https://datasheet.lcsc.com/datasheet/pdf/26ade382493570f6ac7aa9df8c9e3d26.pdf?productCode=C22395560,31550,0.0200,50,50,https://www.lcsc.com/product-detail/C22395560.html,SOD-123,Tape & Reel (TR),1 Independent,500mW,22V,100nA@17V,20.9V~23.1V,-55℃~+150℃,29Ω,-,-
