"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Number of Lines","Impedance @ Frequency","Tolerance","DC Resistance(DCR)","Current Rating","Operating Temperature"
"C14709","BLM18PG121SN1D","muRata","1585850","50","50","https://www.lcsc.com/product-detail/C14709.html","0603","Tape & Reel (TR)","1","120Ω@100MHz","±25%","50mΩ","2A","-55℃~+125℃"
"C15014","MMZ2012S601AT000","TDK","1840","20","20","https://www.lcsc.com/product-detail/C15014.html","0805","Tape & Reel (TR)","1","600Ω@100MHz","±25%","300mΩ","500mA","-55℃~+125℃"
"C15957","MPZ2012S101AT000","TDK","188400","10","10","https://www.lcsc.com/product-detail/C15957.html","0805","Tape & Reel (TR)","1","100Ω@100MHz","±25%","20mΩ","4A","-55℃~+125℃"
"C16903","BLM21PG300SN1D","muRata","93270","10","10","https://www.lcsc.com/product-detail/C16903.html","0805","Tape & Reel (TR)","1","30Ω@100MHz","±25%","14mΩ","4A","-55℃~+125℃"
"C17141","BLM18BB121SN1D","muRata","9260","20","20","https://www.lcsc.com/product-detail/C17141.html","0603","Tape & Reel (TR)","1","120Ω@100MHz","±25%","300mΩ","550mA","-55℃~+125℃"
"C17305","BLM18PG300SN1D","muRata","130950","50","50","https://www.lcsc.com/product-detail/C17305.html","0603","Tape & Reel (TR)","1","30Ω@100MHz","±25%","50mΩ","1A","-55℃~+125℃"
"C18305","BLM21PG600SN1D","muRata","94320","20","20","https://www.lcsc.com/product-detail/C18305.html","0805","Tape & Reel (TR)","1","60Ω@100MHz","±25%","20mΩ","3.5A","-55℃~+125℃"
"C19330","BLM18AG601SN1D","muRata","757000","50","50","https://www.lcsc.com/product-detail/C19330.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","380mΩ","500mA","-55℃~+125℃"
"C20345","BLM18EG601SN1D","muRata","75240","10","10","https://www.lcsc.com/product-detail/C20345.html","0603","Tape & Reel (TR)","1","600Ω@100MHz","±25%","350mΩ","500mA","-55℃~+125℃"
"C21516","BLM15HD102SN1D","muRata","141250","50","50","https://www.lcsc.com/product-detail/C21516.html","0402","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","1.25Ω","250mA","-55℃~+125℃"
"C21519","MPZ2012S601AT000","TDK","103630","10","10","https://www.lcsc.com/product-detail/C21519.html","0805","Tape & Reel (TR)","1","600Ω@100MHz","±25%","100mΩ","2A","-55℃~+125℃"
"C23568","BLM21BB121SN1D","muRata","6340","10","10","https://www.lcsc.com/product-detail/C23568.html","0805","Tape & Reel (TR)","1","120Ω@100MHz","±25%","190mΩ","600mA","-55℃~+125℃"
"C37751","BLM21BD102SN1D","muRata","13040","10","10","https://www.lcsc.com/product-detail/C37751.html","0805","Tape & Reel (TR)","1","1kΩ@100MHz","±25%","400mΩ","250mA","-55℃~+125℃"
"C71813","BLM15AX300SN1D","muRata","22100","50","50","https://www.lcsc.com/product-detail/C71813.html","0402","Tape & Reel (TR)","1","30Ω@100MHz","±25%","60mΩ","1.1A","-55℃~+125℃"
"C72904","BLM21PG331SH1D","muRata","6760","10","10","https://www.lcsc.com/product-detail/C72904.html","0805","Tape & Reel (TR)","1","330Ω@100MHz","±25%","70mΩ","1.5A","-55℃~+125℃"
