"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Number of Lines","Impedance @ Frequency","Tolerance","DC Resistance(DCR)","Current Rating","Operating Temperature"
"C85823","BLM15PG100SN1D","muRata","17500","50","50","https://www.lcsc.com/product-detail/C85823.html","0402","Tape & Reel (TR)","1","10Ω@100MHz","±25%","25mΩ","1A","-55℃~+125℃"
"C85816","BLM15BA220SN1D","muRata","42900","100","100","https://www.lcsc.com/product-detail/C85816.html","0402","Tape & Reel (TR)","1","22Ω@100MHz","±25%","300mΩ","300mA","-55℃~+125℃"
"C85822","BLM15PD300SN1D","muRata","18350","50","50","https://www.lcsc.com/product-detail/C85822.html","0402","Tape & Reel (TR)","1","30Ω@100MHz","±25%","35mΩ","2.2A","-55℃~+125℃"
"C88961","BLM15BA330SN1D","muRata","14550","50","50","https://www.lcsc.com/product-detail/C88961.html","0402","Tape & Reel (TR)","1","33Ω@100MHz","±25%","400mΩ","300mA","-55℃~+125℃"
"C76887","BLM15BB470SN1D","muRata","12800","50","50","https://www.lcsc.com/product-detail/C76887.html","0402","Tape & Reel (TR)","1","47Ω@100MHz","±25%","350mΩ","300mA","-55℃~+125℃"
"C160976","BLM15PX600SN1D","muRata","25850","50","50","https://www.lcsc.com/product-detail/C160976.html","0402","Tape & Reel (TR)","1","60Ω@100MHz","±25%","32mΩ","2.5A","-55℃~+125℃"
"C85814","BLM15AG700SN1D","muRata","92850","50","50","https://www.lcsc.com/product-detail/C85814.html","0402","Tape & Reel (TR)","1","70Ω@100MHz","±25%","150mΩ","600mA","-55℃~+125℃"
"C269770","BLM15BX750SN1D","muRata","5500","100","100","https://www.lcsc.com/product-detail/C269770.html","0402","Tape & Reel (TR)","1","75Ω@100MHz","±25%","150mΩ","600mA","-55℃~+125℃"
"C237347","BLM15PD800SN1D","muRata","30300","50","50","https://www.lcsc.com/product-detail/C237347.html","0402","Tape & Reel (TR)","1","80Ω@100MHz","±25%","70mΩ","1.5A","-55℃~+125℃"
"C88970","BLM15PX121SN1D","muRata","322200","20","20","https://www.lcsc.com/product-detail/C88970.html","0402","Tape & Reel (TR)","1","120Ω@100MHz","±25%","55mΩ","2A","-55℃~+125℃"
