LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C404717,MMZ1005S601HTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/b532df19d6ce9549b0dadc5e0b4a3eb6.pdf?productCode=C404717,1487,0.0284,1,1,https://www.lcsc.com/product-detail/C404717.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,340mΩ,440mA,-55℃~+125℃
C576399,BLM18SG330SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/f341124a548bc35c2875ebbc859ec95a.pdf?productCode=C576399,1455,0.1792,5,5,https://www.lcsc.com/product-detail/C576399.html,0603,Tape & Reel (TR),1,33Ω@100MHz,±25%,8mΩ,6A,-55℃~+125℃
C6131972,BLM21HE472SN1L,muRata,https://datasheet.lcsc.com/datasheet/pdf/b9000f3a177b584bb1a1eb2e06d5c004.pdf?productCode=C6131972,1430,0.3927,5,5,https://www.lcsc.com/product-detail/C6131972.html,0805,Tape & Reel (TR),1,4.7kΩ@100MHz,±25%,400mΩ,850mA,-55℃~+125℃
C341514,BLM18HK331SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/476f686779b44f53bd654ea49b9039f6.pdf?productCode=C341514,1420,0.0291,20,20,https://www.lcsc.com/product-detail/C341514.html,0603,Tape & Reel (TR),1,330Ω@100MHz,±25%,500mΩ,200mA,-55℃~+125℃
C87550,MMZ1005S601ET000,TDK,https://datasheet.lcsc.com/datasheet/pdf/4809a58093646d7c6f777b7170a7d9d9.pdf?productCode=C87550,1380,0.0292,10,10,https://www.lcsc.com/product-detail/C87550.html,0402,Tape & Reel (TR),1,600Ω@100MHz,±25%,650mΩ,300mA,-55℃~+125℃
C710511,BLM21RK221SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6242bda61675039a79fe525df931ed03.pdf?productCode=C710511,1335,0.1064,5,5,https://www.lcsc.com/product-detail/C710511.html,0805,Tape & Reel (TR),1,220Ω@100MHz,±25%,200mΩ,200mA,-55℃~+125℃
C139476,MZ1608-601Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139476,1320,0.0483,10,10,https://www.lcsc.com/product-detail/C139476.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,450mΩ,100mA,-55℃~+125℃
C2662025,BLM15EG221SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/a7cafff12cf854981e09cefab0b8882a.pdf?productCode=C2662025,1290,0.0494,10,10,https://www.lcsc.com/product-detail/C2662025.html,0402,Tape & Reel (TR),1,220Ω@100MHz,±25%,280mΩ,700mA,-55℃~+125℃
C139468,MU1005-600Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139468,1285,0.0780,5,5,https://www.lcsc.com/product-detail/C139468.html,0402,Tape & Reel (TR),1,60Ω@100MHz,±25%,800mΩ,80mA,-55℃~+125℃
C710383,BLM18PG181SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/c2ce8d9b6a83440f36dd37f39e8c9489.pdf?productCode=C710383,1250,0.0250,50,50,https://www.lcsc.com/product-detail/C710383.html,0603,Tape & Reel (TR),1,180Ω@100MHz,±25%,90mΩ,1.5A,-55℃~+125℃
C307768,MPZ1608R391ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C307768,1220,0.0182,20,20,https://www.lcsc.com/product-detail/C307768.html,0603,Tape & Reel (TR),1,390Ω@100MHz,±25%,120mΩ,1.2A,-55℃~+125℃
C2661649,MMZ1608D100CTDH5,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C2661649,1216,0.0178,1,1,https://www.lcsc.com/product-detail/C2661649.html,0603,Tape & Reel (TR),1,10Ω@100MHz,±25%,100mΩ,500mA,-55℃~+125℃
C307762,MMZ1608R600ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C307762,1200,0.0183,10,10,https://www.lcsc.com/product-detail/C307762.html,0603,Tape & Reel (TR),1,60Ω@100MHz,±25%,100mΩ,800mA,-55℃~+125℃
