LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR),Features
C32346,Q13FC13500004,EPSON,https://datasheet.lcsc.com/datasheet/pdf/d4d1bd2e87b2e72a8e8e7fe7d590f4c0.pdf?productCode=C32346,419285,0.1739,5,5,https://www.lcsc.com/product-detail/C32346.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C97604,SC-32S32.768kHz20PPM7pF,Seiko,https://datasheet.lcsc.com/datasheet/pdf/01dfa0f4259dba8a3f226f0ebcc7a103.pdf?productCode=C97604,139670,0.1904,5,5,https://www.lcsc.com/product-detail/C97604.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,7pF,,
C95361,Q13FC13500049,EPSON,https://datasheet.lcsc.com/datasheet/pdf/87f4fb5292528ca7f0dcfb918a7643ad.pdf?productCode=C95361,117255,0.2029,5,5,https://www.lcsc.com/product-detail/C95361.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,6pF,70kΩ,
C5361379,H31003271C2070CY,JGHC,https://datasheet.lcsc.com/datasheet/pdf/35cb3e9aea5180d4258b45a38eeb1f0e.pdf?productCode=C5361379,92935,0.1990,5,5,https://www.lcsc.com/product-detail/C5361379.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C48615,Q13FC13500002,EPSON,https://datasheet.lcsc.com/datasheet/pdf/26f6084708654851a15ea084f2b18aad.pdf?productCode=C48615,74080,0.1868,5,5,https://www.lcsc.com/product-detail/C48615.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,7pF,70kΩ,
C19723454,3K32.768XQ,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/5e8501a5b2e44bd4c13aa1f014f79b0b.pdf?productCode=C19723454,60180,0.1686,5,5,https://www.lcsc.com/product-detail/C19723454.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C7420697,SX20Y016000BC1T002,TKD,,59940,0.0723,10,10,https://www.lcsc.com/product-detail/C7420697.html,SMD2016-4P,Tape & Reel (TR),16MHz,,±10ppm,,,,,12pF,120Ω,
C3034316,XC21M4-52.000-F10NNHPL,HCI,https://datasheet.lcsc.com/datasheet/pdf/7b490713dbcf39cf6333186d26586025.pdf?productCode=C3034316,54245,0.1361,5,5,https://www.lcsc.com/product-detail/C3034316.html,SMD2016-4P,Tape & Reel (TR),52MHz,±10ppm,±10ppm,,,,-20℃~+70℃,10pF,60Ω,
C424432,TAXM40M4ZHBCDT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/30211ab2d3de8d44977ccd7dace81645.pdf?productCode=C424432,53220,0.0796,10,10,https://www.lcsc.com/product-detail/C424432.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-40℃~+85℃,15pF,40Ω,
C907544,SF32WK32768D61T002,TKD,https://datasheet.lcsc.com/datasheet/pdf/bc96d48b9bc182a4bff168fec1596ed5.pdf?productCode=C907544,50825,0.1824,5,5,https://www.lcsc.com/product-detail/C907544.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,6pF,70kΩ,
