LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR)
C1985532,ABM11W-48.0000MHZ-7-B1U-T3,ABRACON,https://datasheet.lcsc.com/datasheet/pdf/859e09f2b5059baf71f1b89444f4cc79.pdf?productCode=C1985532,4827,0.5390,1,1,https://www.lcsc.com/product-detail/C1985532.html,SMD2016-4P,Tape & Reel (TR),48MHz,±10ppm,±10ppm,,,,-20℃~+70℃,7pF,40Ω
C498202,TZ3398B,TST,https://datasheet.lcsc.com/datasheet/pdf/ef7045ea966bb8e40916fa55ca375a96.pdf?productCode=C498202,4775,0.2229,5,5,https://www.lcsc.com/product-detail/C498202.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±20ppm,±10ppm,,,,-40℃~+105℃,10pF,40Ω
C22386771,SXTF321532768G20F,SCTF,https://datasheet.lcsc.com/datasheet/pdf/4e4c0c04aadb8a07df47ce11f04f4675.pdf?productCode=C22386771,4715,0.1467,5,5,https://www.lcsc.com/product-detail/C22386771.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,9pF,70kΩ
C2682779,X201616MLB4SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2682779,4675,0.1047,5,5,https://www.lcsc.com/product-detail/C2682779.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,100Ω
C1986239,XRCGB27M120F2P00R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/5a5a47678d3932d68663be035ea1badd.pdf?productCode=C1986239,4610,0.2114,5,5,https://www.lcsc.com/product-detail/C1986239.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,±20ppm,±20ppm,,,,-30℃~+85℃,6pF,150Ω
C20885025,T201624MLBDE2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/dc0567ee0f6d1218e8640e6f03e07abe.pdf?productCode=C20885025,4600,0.0735,10,10,https://www.lcsc.com/product-detail/C20885025.html,SMD2016-4P,Tape & Reel (TR),24MHz,±30ppm,±10ppm,,,,-30℃~+85℃,20pF,60Ω
C1986331,XRCGB40M000F5A00R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/64750d9a3b6fea1636eb8873d9c8106f.pdf?productCode=C1986331,4585,0.3157,5,5,https://www.lcsc.com/product-detail/C1986331.html,SMD2016-4P,Tape & Reel (TR),40MHz,±65ppm,±50ppm,,,,-40℃~+125℃,6pF,70Ω
C669076,OT201612MJBA4SL,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C669076,4540,0.6695,1,1,https://www.lcsc.com/product-detail/C669076.html,SMD2016-4P,Tape & Reel (TR),12MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,4mA,-40℃~+85℃,,
C424433,TAXM24M4ZCBCDT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/47aa20baa46a83cb2687187219bc8e65.pdf?productCode=C424433,4540,0.0802,10,10,https://www.lcsc.com/product-detail/C424433.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±20ppm,,,,-40℃~+85℃,9pF,30Ω
C648973,7D040000I01,HD,https://datasheet.lcsc.com/datasheet/pdf/70bdeb7b2ea17afa61d960c2cdcd2917.pdf?productCode=C648973,4515,0.1249,5,5,https://www.lcsc.com/product-detail/C648973.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-,10pF,
